Video_ID,Channel_ID,Video_Title,Published_At,Thumbnails,Comments,Likes,Views,Duration,Start_Time,End_Time,Scheduled_Time,Topic_Category
uu6DfGS1_xQ,UCaIrY40rwEf51POKMybW-Eg,Tiết Lộ Bí Mật Về Japan Trend Festival  | NIKA LAN LINH,2023-09-24T03:10:30Z,https://i.ytimg.com/vi/uu6DfGS1_xQ/default.jpg,3,131,600,PT1H47M51S,2023-09-23T13:11:51Z,2023-09-23T14:59:46Z,2023-09-23T13:11:43Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
UQPc4mhCh94,UCaIrY40rwEf51POKMybW-Eg,ăn kẹo hay bị ghẹo  | NIKA LAN LINH,2023-09-23T01:52:38Z,https://i.ytimg.com/vi/UQPc4mhCh94/default.jpg,2,118,624,PT1H44M18S,2023-09-22T12:01:49Z,2023-09-22T13:46:04Z,2023-09-22T12:01:39Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
zUHez4LXRpk,UCaIrY40rwEf51POKMybW-Eg,Chúng ta hẹn hò đi | Freetalk | NIKA LAN LINH,2023-09-15T14:54:20Z,https://i.ytimg.com/vi/zUHez4LXRpk/default.jpg,7,173,1063,PT2H19M,2023-09-15T12:21:08Z,2023-09-15T14:40:05Z,2023-09-15T12:20:58Z,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
dliIA-752Uo,UCaIrY40rwEf51POKMybW-Eg,Sớm thức giấc thấy sao bồi hồi Ôi tim ta đã yêu Kani thật rồi | NIKA LAN LINH,2023-09-09T04:32:14Z,https://i.ytimg.com/vi/dliIA-752Uo/default.jpg,5,147,1012,PT2H21M57S,2023-09-09T01:29:24Z,2023-09-09T03:51:22Z,2023-09-09T01:29:13Z,['https://en.wikipedia.org/wiki/Video_game_culture']
ysd48olX8bA,UCaIrY40rwEf51POKMybW-Eg,intro1h | NIKA LAN LINH,2023-09-08T21:59:53Z,https://i.ytimg.com/vi/ysd48olX8bA/default.jpg,2,125,867,PT3H48M47S,2023-09-08T17:58:54Z,2023-09-08T21:47:54Z,2023-09-08T17:58:37Z,['https://en.wikipedia.org/wiki/Video_game_culture']
T_sw6RhnQRU,UCaIrY40rwEf51POKMybW-Eg,Đừng Ngủ Khi Lũ  Bạn Còn Thức| NIKA LAN LINH,2023-09-05T06:40:55Z,https://i.ytimg.com/vi/T_sw6RhnQRU/default.jpg,4,129,694,PT1H16M43S,2023-09-04T17:02:24Z,2023-09-04T18:19:09Z,2023-09-04T17:02:12Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
CGrpRewfJG0,UCaIrY40rwEf51POKMybW-Eg,va lo ran | Valorant | NIKA LAN LINH,2023-09-04T21:01:04Z,https://i.ytimg.com/vi/CGrpRewfJG0/default.jpg,3,108,659,PT2H21M32S,2023-09-04T18:29:54Z,2023-09-04T20:51:29Z,2023-09-04T18:29:42Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
0TAJXm6zF9A,UCaIrY40rwEf51POKMybW-Eg,Poscast Chữa Tâm Hồn Cùnng Lin| NIKA LAN LINH,2023-08-31T20:54:32Z,https://i.ytimg.com/vi/0TAJXm6zF9A/default.jpg,7,168,949,PT2H3M25S,2023-08-31T17:54:39Z,2023-08-31T19:58:03Z,2023-08-31T17:54:26Z,[]
CW5NZUuSruQ,UCaIrY40rwEf51POKMybW-Eg,PHOT | NIKA LAN LINH,2023-08-28T10:00:51Z,https://i.ytimg.com/vi/CW5NZUuSruQ/default.jpg,13,179,1783,PT1H33M6S,2023-08-27T20:13:46Z,2023-08-27T21:46:55Z,2023-08-27T20:13:33Z,[]
DwnkYW5q7Fw,UCaIrY40rwEf51POKMybW-Eg,Chào Buổi Sáng Honey | NIKA LAN LINH,2023-08-27T13:40:40Z,https://i.ytimg.com/vi/DwnkYW5q7Fw/default.jpg,10,183,1217,PT1H43M23S,2023-08-26T23:45:39Z,2023-08-27T01:29:00Z,2023-08-26T23:45:22Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
